brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price,engine_liters,cylinders,turbo,horsepower
BMW,Z4 sDrive28i,2014,70000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,20000.0,6.0,4.0,False,240
Bentley,Continental GTC Base,2011,20200.0,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,79950.0,3.5,12.0,False,552
Honda,Passport Elite,2023,2978.0,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,45498.0,3.0,-1.0,False,-1
Dodge,Sprinter 2500,2007,189719.0,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,14000.0,4.4,6.0,False,-1
BMW,M850 i xDrive,2019,9949.0,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,75798.0,3.0,-1.0,True,-1
Audi,A7 Premium,2012,54000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,36880.0,2.0,6.0,False,310
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351.0,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,43147.0,3.5,8.0,False,-1
MINI,Convertible John Cooper Works,2017,24280.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,29000.0,3.6,4.0,False,228
Toyota,Avalon Touring,2016,89148.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,17500.0,4.0,6.0,False,268
Porsche,Cayenne Platinum Edition,2017,73043.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,30990.0,2.4,6.0,False,300
Mercedes-Benz,AMG C 63 S,2017,60000.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,52500.0,6.0,8.0,False,503
Honda,CR-V EX-L,2016,73549.0,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,20848.0,3.8,-1.0,False,-1
Hummer,H2 Base,2005,110900.0,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,19500.0,2.0,8.0,False,325
Porsche,911 Carrera S,2013,39000.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,73000.0,3.5,6.0,False,400
Mercedes-Benz,CLA-Class CLA 250,2016,120000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,19800.0,1.5,4.0,False,208
Chrysler,300 Touring,2009,134602.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,7500.0,2.0,6.0,False,250
Nissan,Rogue SV,2023,1094.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,30999.0,5.0,-1.0,True,-1
Audi,A3 2.0T,2010,83500.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,6500.0,3.7,4.0,False,200
Ford,Mustang GT Premium,2014,37060.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,28500.0,2.0,8.0,False,420
Acura,RL Technology,2010,97700.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,10995.0,5.2,6.0,False,300
Volvo,XC90 Hybrid T8 R-Design,2018,40000.0,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,42000.0,3.5,4.0,False,400
Audi,R8 5.2 V10,2018,8940.0,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,144900.0,2.0,10.0,False,-1
Mercedes-Benz,GLK-Class GLK 350,2014,186000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,10000.0,3.5,6.0,False,302
Toyota,C-HR LE,2021,13180.0,Gasoline,2.0 Liter,CVT-F,–,–,None reported,23998.0,3.0,-1.0,False,-1
Lexus,IS 350 Base,2014,104000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,21000.0,3.0,6.0,False,306
BMW,X4 M40i,2023,8500.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,67900.0,2.0,6.0,False,382
BMW,M4 CS,2019,19069.0,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,69998.0,2.0,-1.0,True,-1
Cadillac,CT5 Premium Luxury,2023,6090.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,46900.0,6.1,4.0,False,237
Audi,A5 2.0T Premium Plus,2019,47523.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,31000.0,3.0,4.0,False,248
Chrysler,300C SRT8,2006,43000.0,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,19995.0,1.6,8.0,False,425
Bentley,Continental GT W12,2017,14684.0,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,130000.0,2.9,12.0,False,582
BMW,M4 Base,2019,57800.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,55999.0,3.0,6.0,False,425
Toyota,GR Corolla Circuit Edition,2023,952.0,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,49950.0,5.2,3.0,False,300
Audi,RS 5 2.9T,2019,21240.0,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,59950.0,3.0,6.0,False,444
Porsche,Cayenne Base,2019,59338.0,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,42499.0,3.0,6.0,False,335
Lamborghini,Huracan Tecnica Coupe,2023,255.0,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,359991.0,3.3,-1.0,False,-1
Maserati,Quattroporte S,2019,23230.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,44999.0,2.0,6.0,False,424
Jaguar,XF 35t R-Sport,2017,48000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,30000.0,3.4,6.0,False,340
Lexus,ES 330 Base,2005,41059.0,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,11100.0,3.3,6.0,False,225
Land,Rover Discovery Sport SE R-Dynamic,2020,21240.0,Gasoline,2.0 Liter,Automatic,White,Black,None reported,37998.0,2.0,-1.0,False,-1
Porsche,Cayman GTS,2015,11500.0,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,–,None reported,72000.0,2.4,6.0,False,340
Genesis,G90 3.3T Premium,2021,9950.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,None reported,53950.0,4.0,6.0,False,365
Volkswagen,Golf R 20th Anniversary Edition,2023,633.0,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,47999.0,3.0,4.0,False,315
Hyundai,Sonata Hybrid Limited,2015,66000.0,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At least 1 accident or damage reported,15900.0,3.0,4.0,False,199
Audi,RS 7 4.0T Prestige,2014,59715.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,45000.0,4.4,8.0,False,560
BMW,740 Li,2012,85252.0,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,18500.0,2.5,6.0,False,326
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,80000.0,2.0,6.0,False,362
BMW,M6 Base,2016,25500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,55000.0,1.6,8.0,False,560
Subaru,Forester 2.5 X,2004,210703.0,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,None reported,2300.0,5.2,4.0,False,165
Hyundai,Elantra N Base,2023,3800.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,34000.0,2.0,4.0,False,276
Kia,Niro Plug-In Hybrid EX Premium,2022,36602.0,Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,None reported,31995.0,3.0,-1.0,False,-1
Aston,Martin DBS Superleggera,2021,2165.0,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,279950.0,3.5,12.0,True,-1
Mercedes-Benz,SLC 300 Base,2018,33000.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,At least 1 accident or damage reported,29900.0,2.5,4.0,False,241
BMW,435 Gran Coupe i,2016,76009.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,24950.0,1.8,6.0,False,300
Jeep,Grand Cherokee Summit,2020,31349.0,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,39366.0,6.2,8.0,False,-1
Lexus,RC 350 Base,2015,48000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,32900.0,3.6,6.0,False,306
BMW,525 i,2005,91420.0,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,8900.0,5.0,6.0,False,215
Toyota,Corolla LE,2003,124756.0,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,At least 1 accident or damage reported,4995.0,1.5,4.0,False,130
Cadillac,CT5-V Blackwing,2023,2415.0,Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,None reported,104900.0,2.5,8.0,False,-1
GMC,Acadia SLT-1,2012,116226.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,7900.0,3.0,6.0,False,288
Lexus,LC 500 Base,2020,37869.0,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,None reported,75950.0,2.0,8.0,False,-1
BMW,i8 Base,2019,41500.0,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,86000.0,4.3,3.0,False,369
Lexus,ES 300h Base,2013,87001.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,None reported,17995.0,3.6,4.0,False,200
Cadillac,CT5-V V-Series,2022,4451.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,55655.0,2.0,6.0,True,-1
BMW,540 i xDrive,2020,27158.0,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,39998.0,3.0,-1.0,True,-1
Chevrolet,Express 1500 Work Van,2014,139804.0,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,14500.0,2.0,6.0,False,195
Jeep,Gladiator Rubicon,2022,27300.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,47500.0,4.4,6.0,False,285
BMW,Z4 sDrive28i,2014,36812.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,27000.0,6.75,4.0,False,240
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,18000.0,3.0,6.0,False,340
Cadillac,XT4 Sport,2019,44500.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,None reported,28900.0,5.5,4.0,False,237
BMW,750 750i xDrive,2021,10917.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,73998.0,3.6,-1.0,True,-1
Bentley,Arnage R,2005,8332.0,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None reported,47350.0,3.7,8.0,False,400
Lincoln,Aviator Reserve AWD,2020,51247.0,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,47698.0,2.0,-1.0,False,-1
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000.0,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,36500.0,3.8,8.0,False,550
RAM,ProMaster 3500 High Roof,2021,147834.0,Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,None reported,32662.0,-1.0,6.0,False,-1
Ford,Utility Police Interceptor Base,2013,105000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,6600.0,1.8,6.0,False,300
Audi,A5 2.0T Premium,2011,92203.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,9995.0,2.0,4.0,False,211
Nissan,GT-R Premium,2010,15600.0,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,69500.0,3.0,6.0,False,485
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700.0,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,30775.0,5.3,6.0,False,-1
Toyota,Corolla LE,2010,72348.0,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,9995.0,3.5,4.0,False,132
Mercedes-Benz,C-Class C300 4MATIC,2022,13177.0,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,None reported,44798.0,3.0,-1.0,True,-1
Porsche,Cayenne E-Hybrid S,2016,96000.0,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,23000.0,-1.0,6.0,False,416
Chevrolet,Express 1500 Work Van,2011,93009.0,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,Summit White,Medium Pewter,None reported,22495.0,2.0,8.0,False,-1
INFINITI,Q70h Base,2016,52750.0,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,White,Black,At least 1 accident or damage reported,28998.0,4.4,6.0,False,360
Audi,A7 Premium Plus,2020,25361.0,Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,None reported,49998.0,2.5,-1.0,True,-1
Audi,Q7 3.0T Premium Plus,2015,98527.0,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,9995.0,4.0,6.0,False,280
Chrysler,Pacifica Touring,2017,87305.0,,,9-Speed A/T,Silver,Black,None reported,9000.0,3.0,-1.0,False,-1
Audi,TTS 2.0T Premium Plus,2012,72922.0,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,25999.0,2.5,4.0,False,265
BMW,650 Gran Coupe i xDrive,2015,41000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,30000.0,5.7,8.0,False,445
Subaru,Forester Premium,2021,42125.0,Gasoline,2.5L H4 16V GDI DOHC,Automatic CVT,Crystal Black Silica,Black,None reported,27899.0,3.8,-1.0,False,-1
Mercedes-Benz,AMG C AMG C 63,2016,62000.0,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,40000.0,5.7,8.0,False,469
Land,Rover LR3 HSE,2006,153843.0,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,9950.0,5.6,8.0,False,300
BMW,X7 xDrive40i,2019,35248.0,Gasoline,3.0 Liter Twin Turbo,Automatic,Arctic Gray Metallic,Black,None reported,53998.0,2.7,-1.0,True,-1
Ford,Transit Connect XLT,2015,194454.0,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,9888.0,3.0,4.0,False,169
Lexus,LX 570 Three-Row,2021,21000.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,89999.0,5.3,8.0,False,383
Porsche,911 Carrera S,2013,18494.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,Black,None reported,86900.0,4.4,6.0,False,400
Dodge,Ram 2500 Laramie Quad Cab,2006,218000.0,Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,None reported,12990.0,2.0,8.0,False,330
Nissan,Armada SL,2021,67800.0,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,36500.0,3.8,8.0,False,400
Porsche,Cayman Base,2014,79000.0,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,42999.0,2.0,6.0,False,275
Mercedes-Benz,GLE 450 GLE 450,2022,24906.0,Hybrid,3.0 Liter Turbo,Automatic,Selenite Grey Metallic,Black,None reported,63998.0,4.0,-1.0,True,-1
Chevrolet,Monte Carlo SS,2006,66840.0,Gasoline,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,12000.0,3.6,8.0,False,303
BMW,M5 Base,2013,86000.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,White,None reported,32000.0,2.0,8.0,False,560
Hyundai,Kona N Base,2023,654.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic with Auto-Shift,Ultra Black,Black,None reported,34599.0,6.3,-1.0,True,-1
Chevrolet,Monte Carlo SS,2005,75000.0,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,12500.0,5.0,6.0,False,240
